#1
double data2(8760,2)   # comment line
   8478000           19
   8481600           19
   8485200           19
   8488800           19
   8492400           19
   8496000           19
   8499600           19
   8503200           16
   8506800           16
   8510400           16
   8514000           16
   8517600           16
   8521200           16
   8524800           16
   8528400           16
   8532000           19
   8535600           19
   8539200           19
   8542800           19
   8546400           19
   8550000           19
   8553600           19
   8557200           19
   8560800           19
   8564400           19
   8568000           19
   8571600           19
   8575200           19
   8578800           19
   8582400           19
   8586000           19
   8589600           16
   8593200           16
   8596800           16
   8600400           16
   8604000           16
   8607600           16
   8611200           16
   8614800           16
   8618400           19
   8622000           19
   8625600           19
   8629200           19
   8632800           19
   8636400           19
   8640000           19
   8643600           19
   8647200           19
   8650800           19
   8654400           19
   8658000           19
   8661600           19
   8665200           19
   8668800           19
   8672400           19
   8676000           16
   8679600           16
   8683200           16
   8686800           16
   8690400           19
   8694000           19
   8697600           19
   8701200           19
   8704800           19
   8708400           19
   8712000           19
   8715600           19
   8719200           19
   8722800           19
   8726400           19
   8730000           19
   8733600           19
   8737200           19
   8740800           19
   8744400           19
   8748000           19
   8751600           19
   8755200           19
   8758800           19
   8762400           16
   8766000           16
   8769600           16
   8773200           16
   8776800           16
   8780400           16
   8784000           16
   8787600           16
   8791200           19
   8794800           19
   8798400           19
   8802000           19
   8805600           19
   8809200           19
   8812800           19
   8816400           19
   8820000           19
   8823600           19
   8827200           19
   8830800           19
   8834400           19
   8838000           19
   8841600           19
   8845200           19
   8848800           16
   8852400           16
   8856000           16
   8859600           16
   8863200           16
   8866800           16
   8870400           16
   8874000           16
   8877600           19
   8881200           19
   8884800           19
   8888400           19
   8892000           19
   8895600           19
   8899200           19
   8902800           19
   8906400           19
   8910000           19
   8913600           19
   8917200           19
   8920800           19
   8924400           19
   8928000           19
   8931600           19
   8935200           19
   8938800           19
   8942400           19
   8946000           19
   8949600           19
   8953200           19
   8956800           19
   8960400           19
   8964000           19
   8967600           19
   8971200           19
   8974800           19
   8978400           19
   8982000           19
   8985600           19
   8989200           19
   8992800           19
   8996400           19
   9000000           19
   9003600           19
   9007200           19
   9010800           19
   9014400           19
   9018000           19
   9021600           19
   9025200           19
   9028800           19
   9032400           19
   9036000           19
   9039600           19
   9043200           19
   9046800           19
   9050400           19
   9054000           19
   9057600           19
   9061200           19
   9064800           19
   9068400           19
   9072000           19
   9075600           19
   9079200           19
   9082800           19
   9086400           19
   9090000           19
   9093600           19
   9097200           19
   9100800           19
   9104400           19
   9108000           16
   9111600           16
   9115200           16
   9118800           16
   9122400           16
   9126000           16
   9129600           16
   9133200           16
   9136800           19
   9140400           19
   9144000           19
   9147600           19
   9151200           19
   9154800           19
   9158400           19
   9162000           19
   9165600           19
   9169200           19
   9172800           19
   9176400           19
   9180000           19
   9183600           19
   9187200           19
   9190800           19
   9194400           16
   9198000           16
   9201600           16
   9205200           16
   9208800           16
   9212400           16
   9216000           16
   9219600           16
   9223200           19
   9226800           19
   9230400           19
   9234000           19
   9237600           19
   9241200           19
   9244800           19
   9248400           19
   9252000           19
   9255600           19
   9259200           19
   9262800           19
   9266400           19
   9270000           19
   9273600           19
   9277200           19
   9280800           16
   9284400           16
   9288000           16
   9291600           16
   9295200           19
   9298800           19
   9302400           19
   9306000           19
   9309600           19
   9313200           19
   9316800           19
   9320400           19
   9324000           19
   9327600           19
   9331200           19
   9334800           19
   9338400           19
   9342000           19
   9345600           19
   9349200           19
   9352800           19
   9356400           19
   9360000           19
   9363600           19
   9367200           16
   9370800           16
   9374400           16
   9378000           16
   9381600           16
   9385200           16
   9388800           16
   9392400           16
   9396000           19
   9399600           19
   9403200           19
   9406800           19
   9410400           19
   9414000           19
   9417600           19
   9421200           19
   9424800           19
   9428400           19
   9432000           19
   9435600           19
   9439200           19
   9442800           19
   9446400           19
   9450000           19
   9453600           16
   9457200           16
   9460800           16
   9464400           16
   9468000           16
   9471600           16
