#1	
double data(8760,2) #comment	
24282000	292.15
24285600	292.15
24289200	292.15
24292800	292.15
24296400	292.15
24300000	292.15
24303600	292.15
24307200	292.15
24310800	292.15
24314400	289.15
24318000	289.15
24321600	289.15
24325200	289.15
24328800	289.15
24332400	289.15
24336000	289.15
24339600	289.15
24343200	292.15
24346800	292.15
24350400	292.15
24354000	292.15
24357600	292.15
24361200	292.15
24364800	292.15
24368400	292.15
24372000	292.15
24375600	292.15
24379200	292.15
24382800	292.15
24386400	292.15
24390000	292.15
24393600	292.15
24397200	292.15
24400800	289.15
24404400	289.15
24408000	289.15
24411600	289.15
24415200	292.15
24418800	292.15
24422400	292.15
24426000	292.15
24429600	292.15
24433200	292.15
24436800	292.15
24440400	292.15
24444000	292.15
24447600	292.15
24451200	292.15
24454800	292.15
24458400	292.15
24462000	292.15
24465600	292.15
24469200	292.15
24472800	292.15
24476400	292.15
24480000	292.15
24483600	292.15
24487200	289.15
24490800	289.15
24494400	289.15
24498000	289.15
24501600	289.15
24505200	289.15
24508800	289.15
24512400	289.15
24516000	292.15
24519600	292.15
24523200	292.15
24526800	292.15
24530400	292.15
24534000	292.15
24537600	292.15
24541200	292.15
24544800	292.15
24548400	292.15
24552000	292.15
24555600	292.15
24559200	292.15
24562800	292.15
24566400	292.15
24570000	292.15
24573600	289.15
24577200	289.15
24580800	289.15
24584400	289.15
24588000	289.15
24591600	289.15
24595200	289.15
24598800	289.15
24602400	292.15
24606000	292.15
24609600	292.15
24613200	292.15
24616800	292.15
24620400	292.15
24624000	292.15
24627600	292.15
24631200	292.15
24634800	292.15
24638400	292.15
24642000	292.15
24645600	292.15
24649200	292.15
24652800	292.15
24656400	292.15
24660000	292.15
24663600	292.15
24667200	292.15
24670800	292.15
24674400	292.15
24678000	292.15
24681600	292.15
24685200	292.15
24688800	292.15
24692400	292.15
24696000	292.15
24699600	292.15
24703200	292.15
24706800	292.15
24710400	292.15
24714000	292.15
24717600	292.15
24721200	292.15
24724800	292.15
24728400	292.15
24732000	292.15
24735600	292.15
24739200	292.15
24742800	292.15
24746400	292.15
24750000	292.15
24753600	292.15
24757200	292.15
24760800	292.15
24764400	292.15
24768000	292.15
24771600	292.15
24775200	292.15
24778800	292.15
24782400	292.15
24786000	292.15
24789600	292.15
24793200	292.15
24796800	292.15
24800400	292.15
24804000	292.15
24807600	292.15
24811200	292.15
24814800	292.15
24818400	292.15
24822000	292.15
24825600	292.15
24829200	292.15
24832800	289.15
24836400	289.15
24840000	289.15
24843600	289.15
24847200	289.15
24850800	289.15
24854400	289.15
24858000	289.15
24861600	292.15
24865200	292.15
24868800	292.15
24872400	292.15
24876000	292.15
24879600	292.15
24883200	292.15
24886800	292.15
24890400	292.15
24894000	292.15
24897600	292.15
24901200	292.15
24904800	292.15
24908400	292.15
24912000	292.15
24915600	292.15
24919200	289.15
24922800	289.15
24926400	289.15
24930000	289.15
24933600	289.15
24937200	289.15
24940800	289.15
24944400	289.15
24948000	292.15
24951600	292.15
24955200	292.15
24958800	292.15
24962400	292.15
24966000	292.15
24969600	292.15
24973200	292.15
24976800	292.15
24980400	292.15
24984000	292.15
24987600	292.15
24991200	292.15
24994800	292.15
24998400	292.15
25002000	292.15
25005600	289.15
25009200	289.15
