#1	
double data1(17521,2)	# Comment
1391400	773
1393200	774
1395000	775
1396800	776
1398600	777
1400400	778
1402200	779
1404000	780
1405800	781
1407600	782
1409400	783
1411200	784
1413000	785
1414800	786
1416600	787
1418400	788
1420200	789
1422000	790
1423800	791
1425600	792
1427400	793
1429200	794
1431000	795
1432800	796
1434600	797
1436400	798
1438200	799
1440000	800
1441800	801
1443600	802
1445400	803
1447200	804
1449000	805
1450800	806
1452600	807
1454400	808
1456200	809
1458000	810
1459800	811
1461600	812
1463400	813
1465200	814
1467000	815
1468800	816
1470600	817
1472400	818
1474200	819
1476000	820
1477800	821
1479600	822
1481400	823
1483200	824
1485000	825
1486800	826
1488600	827
1490400	828
1492200	829
1494000	830
1495800	831
1497600	832
1499400	833
1501200	834
1503000	835
1504800	836
1506600	837
1508400	838
1510200	839
1512000	840
1513800	841
1515600	842
1517400	843
1519200	844
1521000	845
1522800	846
1524600	847
1526400	848
1528200	849
1530000	850
1531800	851
1533600	852
1535400	853
1537200	854
1539000	855
1540800	856
1542600	857
1544400	858
1546200	859
1548000	860
1549800	861
1551600	862
1553400	863
1555200	864
1557000	865
1558800	866
1560600	867
1562400	868
1564200	869
1566000	870
1567800	871
1569600	872
1571400	873
1573200	874
1575000	875
1576800	876
1578600	877
1580400	878
1582200	879
1584000	880
1585800	881
1587600	882
1589400	883
1591200	884
1593000	885
1594800	886
1596600	887
1598400	888
1600200	889
1602000	890
1603800	891
1605600	892
1607400	893
1609200	894
1611000	895
1612800	896
1614600	897
1616400	898
1618200	899
1620000	900
1621800	901
1623600	902
1625400	903
1627200	904
1629000	905
1630800	906
1632600	907
1634400	908
1636200	909
1638000	910
1639800	911
1641600	912
1643400	913
1645200	914
1647000	915
1648800	916
1650600	917
1652400	918
1654200	919
1656000	920
1657800	921
1659600	922
1661400	923
1663200	924
1665000	925
1666800	926
1668600	927
1670400	928
1672200	929
1674000	930
1675800	931
1677600	932
1679400	933
1681200	934
1683000	935
1684800	936
1686600	937
1688400	938
1690200	939
1692000	940
1693800	941
1695600	942
1697400	943
1699200	944
1701000	945
1702800	946
1704600	947
1706400	948
1708200	949
1710000	950
1711800	951
1713600	952
1715400	953
1717200	954
1719000	955
1720800	956
1722600	957
1724400	958
1726200	959
1728000	960
1729800	961
1731600	962
1733400	963
1735200	964
1737000	965
1738800	966
1740600	967
1742400	968
1744200	969
1746000	970
1747800	971
1749600	972
1751400	973
1753200	974
1755000	975
1756800	976
1758600	977
1760400	978
1762200	979
1764000	980
1765800	981
1767600	982
1769400	983
1771200	984
1773000	985
1774800	986
1776600	987
1778400	988
1780200	989
1782000	990
1783800	991
1785600	992
1787400	993
1789200	994
1791000	995
1792800	996
1794600	997
1796400	998
1798200	999
1800000	1000
1801800	1001
1803600	1002
1805400	1003
1807200	1004
1809000	1005
1810800	1006
1812600	1007
1814400	1008
1816200	1009
1818000	1010
1819800	1011
1821600	1012
1823400	1013
1825200	1014
1827000	1015
1828800	1016
1830600	1017
1832400	1018
1834200	1019
1836000	1020
1837800	1021
1839600	1022
1841400	1023
1843200	1024
1845000	1025
1846800	1026
1848600	1027
1850400	1028
1852200	1029
1854000	1030
1855800	1031
1857600	1032
1859400	1033
1861200	1034
1863000	1035
1864800	1036
1866600	1037
1868400	1038
1870200	1039
1872000	1040
1873800	1041
1875600	1042
1877400	1043
1879200	1044
1881000	1045
1882800	1046
1884600	1047
1886400	1048
1888200	1049
1890000	1050
1891800	1051
1893600	1052
1895400	1053
1897200	1054
1899000	1055
1900800	1056
1902600	1057
1904400	1058
1906200	1059
1908000	1060
1909800	1061
1911600	1062
1913400	1063
1915200	1064
1917000	1065
1918800	1066
1920600	1067
1922400	1068
1924200	1069
1926000	1070
1927800	1071
1929600	1072
1931400	1073
1933200	1074
1935000	1075
1936800	1076
1938600	1077
1940400	1078
1942200	1079
1944000	1080
1945800	1081
1947600	1082
1949400	1083
1951200	1084
1953000	1085
1954800	1086
1956600	1087
1958400	1088
1960200	1089
1962000	1090
1963800	1091
1965600	1092
1967400	1093
1969200	1094
1971000	1095
1972800	1096
1974600	1097
1976400	1098
1978200	1099
1980000	1100
1981800	1101
1983600	1102
1985400	1103
1987200	1104
1989000	1105
1990800	1106
1992600	1107
1994400	1108
1996200	1109
1998000	1110
1999800	1111
2001600	1112
2003400	1113
2005200	1114
2007000	1115
2008800	1116
2010600	1117
2012400	1118
2014200	1119
2016000	1120
2017800	1121
2019600	1122
2021400	1123
2023200	1124
2025000	1125
2026800	1126
2028600	1127
2030400	1128
2032200	1129
2034000	1130
2035800	1131
2037600	1132
2039400	1133
2041200	1134
2043000	1135
2044800	1136
2046600	1137
2048400	1138
2050200	1139
2052000	1140
2053800	1141
2055600	1142
2057400	1143
2059200	1144
2061000	1145
2062800	1146
2064600	1147
2066400	1148
2068200	1149
2070000	1150
2071800	1151
2073600	1152
2075400	1153
2077200	1154
2079000	1155
2080800	1156
2082600	1157
2084400	1158
2086200	1159
2088000	1160
2089800	1161
2091600	1162
2093400	1163
2095200	1164
2097000	1165
2098800	1166
2100600	1167
2102400	1168
2104200	1169
2106000	1170
2107800	1171
2109600	1172
2111400	1173
2113200	1174
2115000	1175
2116800	1176
2118600	1177
2120400	1178
2122200	1179
2124000	1180
2125800	1181
2127600	1182
2129400	1183
2131200	1184
2133000	1185
2134800	1186
2136600	1187
2138400	1188
2140200	1189
2142000	1190
2143800	1191
2145600	1192
2147400	1193
2149200	1194
2151000	1195
2152800	1196
2154600	1197
2156400	1198
2158200	1199
2160000	1200
2161800	1201
2163600	1202
2165400	1203
2167200	1204
2169000	1205
2170800	1206
2172600	1207
2174400	1208
2176200	1209
2178000	1210
2179800	1211
2181600	1212
2183400	1213
2185200	1214
2187000	1215
2188800	1216
2190600	1217
2192400	1218
2194200	1219
2196000	1220
2197800	1221
2199600	1222
2201400	1223
2203200	1224
2205000	1225
2206800	1226
2208600	1227
2210400	1228
2212200	1229
2214000	1230
2215800	1231
2217600	1232
2219400	1233
2221200	1234
2223000	1235
2224800	1236
2226600	1237
2228400	1238
2230200	1239
2232000	1240
2233800	1241
2235600	1242
2237400	1243
2239200	1244
2241000	1245
2242800	1246
2244600	1247
2246400	1248
2248200	1249
2250000	1250
2251800	1251
2253600	1252
2255400	1253
2257200	1254
2259000	1255
2260800	1256
2262600	1257
2264400	1258
2266200	1259
2268000	1260
2269800	1261
2271600	1262
2273400	1263
2275200	1264
2277000	1265
2278800	1266
2280600	1267
2282400	1268
2284200	1269
2286000	1270
2287800	1271
2289600	1272
2291400	1273
2293200	1274
2295000	1275
2296800	1276
